Title,Region,Type,Rating,Rank
肖申克的救赎,美国,"犯罪,剧情",9.7,1
霸王别姬,"中国大陆,中国香港","剧情,爱情,同性",9.6,2
控方证人,美国,"剧情,犯罪,悬疑,惊悚",9.6,3
泰坦尼克号,"美国,墨西哥","剧情,爱情,灾难",9.5,4
阿甘正传,美国,"剧情,爱情",9.5,5
美丽人生,意大利,"剧情,喜剧,爱情,战争",9.5,6
茶馆,中国大陆,"剧情,历史",9.6,7
辛德勒的名单,美国,"剧情,历史,战争",9.5,8
这个杀手不太冷,"法国,美国","剧情,动作,犯罪",9.4,9
千与千寻,日本,"剧情,动画,奇幻",9.4,10
盗梦空间,"美国,英国","剧情,科幻,悬疑,冒险",9.4,11
星际穿越,"美国,英国,加拿大","剧情,科幻,冒险",9.4,12
楚门的世界,美国,"剧情,科幻",9.4,13
忠犬八公的故事,"美国,英国",剧情,9.4,14
大闹天宫,中国大陆,"剧情,动画,奇幻,古装",9.4,15
背靠背，脸对脸,"中国大陆,中国香港",剧情,9.5,16
高山下的花环,中国大陆,"剧情,战争",9.5,17
十二怒汉,美国,剧情,9.4,18
无间道,中国香港,"剧情,犯罪,惊悚",9.3,19
海上钢琴师,意大利,"剧情,音乐",9.3,20
末代皇帝,"英国,意大利,中国大陆,法国","剧情,传记,历史",9.3,21
活着,"中国大陆,中国香港","剧情,历史,家庭",9.3,22
放牛班的春天,"法国,瑞士,德国","剧情,音乐",9.3,23
触不可及,法国,"剧情,喜剧",9.3,24
鬼子来了,中国大陆,"剧情,喜剧",9.3,25
教父,美国,"剧情,犯罪",9.3,26
初步举证,英国,剧情,9.5,27
熔炉,韩国,剧情,9.3,28
指环王3：王者无敌,"美国,新西兰","剧情,动作,奇幻,冒险",9.3,29
乱世佳人,美国,"剧情,历史,爱情,战争",9.3,30
海蒂和爷爷,"德国,瑞士","剧情,冒险,家庭",9.3,31
素媛,韩国,剧情,9.3,32
钢琴家,"英国,法国,波兰,德国,美国","剧情,传记,战争,音乐",9.3,33
教父2,美国,"剧情,犯罪",9.3,34
三傻大闹宝莱坞,印度,"剧情,喜剧,爱情,歌舞",9.2,35
饮食男女,"中国台湾,美国","剧情,家庭",9.2,36
还有明天,意大利,"剧情,喜剧,历史",9.3,37
蝙蝠侠：黑暗骑士,"美国,英国","剧情,动作,科幻,犯罪,惊悚",9.2,38
摩登时代,美国,"剧情,喜剧,爱情",9.3,39
芙蓉镇,中国大陆,"剧情,爱情",9.3,40
横空出世,中国大陆,"剧情,历史",9.4,41
死亡诗社,美国,剧情,9.2,42
指环王2：双塔奇兵,"美国,新西兰","剧情,动作,奇幻,冒险",9.2,43
天堂电影院,"意大利,法国","剧情,爱情",9.2,44
辩护人,韩国,剧情,9.2,45
穿条纹睡衣的男孩,"英国,美国","剧情,战争",9.2,46
窃听风暴,德国,"剧情,悬疑",9.2,47
小鞋子,伊朗,"剧情,儿童,家庭",9.2,48
七武士,日本,"动作,冒险,剧情",9.3,49
少年派的奇幻漂流,"美国,中国台湾,英国,加拿大","剧情,奇幻,冒险",9.1,50
怦然心动,美国,"剧情,喜剧,爱情",9.1,51
当幸福来敲门,美国,"剧情,传记,家庭",9.1,52
飞屋环游记,美国,"剧情,喜剧,动画,冒险",9.1,53
猫鼠游戏,"美国,加拿大","传记,犯罪,剧情",9.1,54
何以为家,"黎巴嫩,美国,法国,塞浦路斯,卡塔尔,英国",剧情,9.1,55
罗马假日,美国,"喜剧,剧情,爱情",9.1,56
闻香识女人,美国,剧情,9.1,57
指环王1：护戒使者,"新西兰,美国","剧情,动作,奇幻,冒险",9.1,58
